"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"103",103,"INTL FCStone",29423.6,"Sean M. O'Connor","President, Chief Executive Officer & Director","Financials","Diversified Financials","New York City",3,25,"M",0,0.0551373763091112,0.749811816629131
"104",104,"Northwestern Mutual",29331,"John E. Schlifske","Chairman & Chief Executive Officer","Financials","Insurance: Life, Health (Mutual)","Milwaukee",18,522,"M",0,0.0995811075784903,0.871716430056792
"105",105,"Enterprise Products Partners",29241.5,"A. James Teague","Chairman & Chief Executive Officer","Energy","Pipelines","Houston",6,615,"M",0,-0.000576903900038087,3.08812484452689e-06
"106",106,"Travelers Cos.",28902,"Alan D. Schnitzer","Chairman & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","New York City",18,398,"M",0,0.0351505292175381,0.0288689412665386
"107",107,"Hewlett Packard Enterprise",28871,"Antonio Neri","President, Chief Executive Officer & Director","Technology","Computers, Office Equipment","Palo Alto, Calif.",13,604,"M",0,-0.00072462514626068,0.990607744992798
"109",109,"Twenty-First Century Fox",28500,"James R. Murdoch","Chief Executive Officer & Director","Media","Entertainment","New York City",7,293,"M",0,-0.000638169446267976,1
"110",110,"AbbVie",28216,"Richard A. Gonzalez","Chairman & Chief Executive Officer","Health Care","Pharmaceuticals","North Chicago, Ill.",21,350,"M",0,-0.000363556545322421,2.22044604925031e-16
"111",111,"Abbott Laboratories",27390,"Miles D. White","Chairman & Chief Executive Officer","Health Care","Medical Products and Equipment","Abbott Park, Ill.",18,746,"M",0,-0.000753520487521588,1
"112",112,"Progressive",26839,"Susan Patricia Griffith","President, Chief Executive Officer & Director","Financials","Insurance: Property and Casualty (Stock)","Mayfield Village, Ohio",18,412,"F",1,0.0351266690631162,0.0236175690209935
"113",113,"Arrow Electronics",26812.5,"Michael J. Long","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Electronics and Office Equipment","Centennial, Colo.",18,217,"M",0,-0.000383055128491559,0.999999999572767
"114",114,"Kraft Heinz",26232,"Bernardo Hees","Chief Executive Officer","Food, Beverages & Tobacco","Food Consumer Products","Pittsburgh",18,434,"M",0,0.157489716135858,0.977300606181642
"115",115,"Plains GP Holdings",26223,"Greg L. Armstrong","Chairman & Chief Executive Officer","Energy","Pipelines","Houston",21,471,"M",0,-0.000608954681459683,2.29704667451256e-06
"116",116,"Gilead Sciences",26107,"John F. Milligan IV","President, Chief Executive Officer & Director","Health Care","Pharmaceuticals","Foster City, Calif.",3,36,"M",0,-0.000388262136569089,2.22044604925031e-16
"117",117,"Mondelez International",25896,"Dirk Van de Put","Chairman & Chief Executive Officer","Food, Beverages & Tobacco","Food Consumer Products","Deerfield, Ill.",4,698,"M",0,0.157490568695857,0.97675958950579
"118",118,"Northrop Grumman",25803,"Wesley G. Bush","Chairman & Chief Executive Officer","Aerospace & Defense","Aerospace and Defense","Falls Church, Va.",18,653,"M",0,0.159255653309117,1
"119",119,"Raytheon",25348,"Thomas A. Kennedy","Chairman & Chief Executive Officer","Aerospace & Defense","Aerospace and Defense","Waltham, Mass.",18,599,"M",0,0.15924963347772,1
"120",120,"Macy’s",24837,"Jeffrey Gennette","Chairman & Chief Executive Officer","Retailing","General Merchandisers","Cincinnati",18,123,"M",0,0.1805948448415,2.22044604925031e-16
"121",121,"US Foods Holding",24147.2,"Pietro Satriano","Chairman, President & Chief Executive Officer","Wholesalers","Wholesalers: Food and Grocery","Rosemont, Ill.",23,327,"M",0,-0.000151541104903842,1
"122",122,"U.S. Bancorp",23996,"Andrew J. Cecere","President, Chief Executive Officer & Director","Financials","Commercial Banks","Minneapolis",14,658,"M",0,0.11938445687054,0.295930289387326
"123",123,"Dollar General",23471,"Todd J. Vasos","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Goodlettsville, Tenn.",14,108,"M",0,0.0660875986734558,0.146924832532971
"124",124,"International Paper",23302,"Mark S. Sutton","Chairman & Chief Executive Officer","Materials","Packaging, Containers","Memphis",18,552,"M",0,-0.000516947233253142,1
"125",125,"Duke Energy",23189,"Lynn J. Good","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Charlotte, N.C.",18,351,"F",1,0.241908440301601,0.000253071677305963
"126",126,"Southern",23031,"Thomas A. Fanning","Chairman, President & Chief Executive Officer","Energy","Utilities: Gas and Electric","Atlanta",18,401,"M",0,0.241907879051443,0.000249739061753882
"127",127,"Marriott International",22894,"Arne M. Sorenson","President, Chief Executive Officer & Director","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, Md.",14,200,"M",0,-0.000746173888265254,2.22044604925031e-16
