rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
302;Fidelity National Financial;$9,769;Raymond R. Quirk;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Jacksonville, Fla.;www.fnf.com;11;24,525;f500-2018-fidelity-national-financial;
303;SunTrust Banks;$9,741;William H. Rogers Jr.;Chairman & Chief Executive Officer;Financials;Commercial Banks;Atlanta;www.suntrust.com;24;23,785;f500-2018-suntrust-banks;
304;IQVIA Holdings;$9,739;NA;NA;Financials;NA;NA;NA;NA;NA;f500-2018-suntrust-banks;
305;Reliance Steel & Aluminum;$9,721;Gregg J. Mollins;President, Chief Executive Officer & Director;Materials;Metals;Los Angeles;www.rsac.com;12;14,900;f500-2018-reliance-steel-aluminum;
306;Nvidia;$9,714;Jen-Hsun Huang;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Santa Clara, Calif.;www.nvidia.com;2;11,528;f500-2018-nvidia;
307;Voya Financial;$9,660;Rodney O. Martin Jr.;Chairman & Chief Executive Officer;Financials;Diversified Financials;New York City;www.voya.com;4;6,300;f500-2018-voya-financial;
308;CenterPoint Energy;$9,614;Scott M. Prochazka;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Houston;www.centerpointenergy.com;24;7,977;f500-2018-centerpoint-energy;
309;eBay;$9,567;Devin N. Wenig;President, Chief Executive Officer & Director;Technology;Internet Services and Retailing;San Jose, Calif.;www.ebay.com;13;14,100;f500-2018-ebay;
310;Eastman Chemical;$9,549;Mark J. Costa;Chairman & Chief Executive Officer;Chemicals;Chemicals;Kingsport, Tenn.;www.eastman.com;24;14,000;f500-2018-eastman-chemical;
311;American Family Insurance Group;$9,545.4;Jack C. Salzwedel;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Madison, Wis.;www.amfam.com;22;11,307;f500-2018-american-family-insurance;
312;Steel Dynamics;$9,538.8;Mark D. Millett;President, Chief Executive Officer & Director;Materials;Metals;Fort Wayne, Ind.;www.steeldynamics.com;9;7,635;f500-2018-steel-dynamics;
313;Pacific Life;$9,510;James T. Morris;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Newport Beach, Calif.;www.pacificlife.com;22;3,578;f500-2018-pacific-life;
314;Chesapeake Energy;$9,496;Robert D. Lawler;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Oklahoma City;www.chk.com;13;3,200;f500-2018-chesapeake-energy;
315;Mohawk Industries;$9,491.3;Jeffrey S. Lorberbaum;Chairman & Chief Executive Officer;Household Products;Home Equipment, Furnishings;Calhoun, Ga.;www.mohawkind.com;19;38,800;f500-2018-mohawk-industries;
316;Quanta Services;$9,466.5;Earl C. Austin Jr.;President, Chief Executive Officer & Director;Engineering & Construction;Engineering, Construction;Houston;www.quantaservices.com;6;32,800;f500-2018-quantas-services;
317;Advance Auto Parts;$9,373.8;Thomas R. Greco;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Roanoke, Va.;www.advanceautoparts.com;16;55,500;f500-2018-advance-auto-parts;
318;Owens & Minor;$9,318.3;Robert C. Sledd;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Mechanicsville, Va.;www.owens-minor.com;24;8,600;f500-2018-owens-minor;
319;United Natural Foods;$9,274.5;Steven L. Spinner;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;Providence, R.I.;www.unfi.com;6;9,700;f500-2018-united-natural-foods;
320;Tenneco;$9,274;Brian J. Kesseler;Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Lake Forest, Ill.;www.tenneco.com;24;32,000;f500-2018-tenneco;
321;Conagra Brands;$9,234.8;Sean M. Connolly;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Chicago;www.conagrabrands.com;24;12,600;f500-2018-conagra-brands;
322;GameStop;$9,224.6;Shane S. Kim;Interim Chief Executive Officer;Retailing;Specialty Retailers: Other;Grapevine, Texas;www.gamestop.com;12;39,500;f500-2018-gamestop;
323;Hormel Foods;$9,167.5;James P. Snee;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Austin, Minn.;www.hormelfoods.com;24;20,200;f500-2018-hormel-foods;
324;Hilton Worldwide Holdings;$9,140;Christopher J. Nassetta;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;McLean, Va.;www.hiltonworldwide.com;15;163,000;f500-2018-hilton-worldwide-holdings;
325;Frontier Communications;$9,128;Daniel J. McCarthy;President, Chief Executive Officer & Director;Telecommunications;Telecommunications;Norwalk, Conn.;www.frontier.com;5;22,736;f500-2018-frontier-communications;
326;Fidelity National Information Services;$9,123;Gary A. Norcross;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Jacksonville, Fla.;www.fisglobal.com;9;53,000;f500-2018-fidelity-national-financial;
327;Public Service Enterprise Group;$9,084;Ralph Izzo;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Newark, N.J.;www.pseg.com;24;12,945;f500-2018-public-service-enterprise-group;
328;Boston Scientific;$9,048;Michael F. Mahoney;Chairman, President & Chief Executive Officer;Health Care;Medical Products and Equipment;Marlborough, Mass.;www.bostonscientific.com;15;29,000;f500-2018-boston-scientific;
329;O’Reilly Automotive;$8,977.7;Gregory D. Johnson;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Springfield, Mo.;www.oreillyauto.com;9;60,365;f500-2018-oreilly-automotive;
330;Charles Schwab;$8,960;Walter W. Bettinger II;President, Chief Executive Officer & Director;Financials;Securities;San Francisco;www.aboutschwab.com;20;17,600;f500-2018-charles-schwab;
331;Global Partners;$8,920.6;Eric Slifka;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Waltham, Mass.;www.globalp.com;12;2,000;f500-2018-global-partners;
332;PVH;$8,914.8;Emanuel Chirico;Chairman & Chief Executive Officer;Apparel;Apparel;New York City;www.pvh.com;8;28,050;f500-2018-pvh;
333;Avis Budget Group;$8,848;Larry D. De Shon;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Parsippany, N.J.;www.avisbudgetgroup.com;21;26,300;f500-2018-avis-budget-group;
334;Targa Resources;$8,814.9;Joe Bob Perkins;Chairman & Chief Executive Officer;Energy;Pipelines;Houston;www.targaresources.com;10;2,130;f500-2018-targa-resources;
335;Hertz Global Holdings;$8,803;Kathryn V. Marinello;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Estero, Fla.;www.hertz.com;11;37,000;f500-2018-hertz-global-holdings;
336;Calpine;$8,752;John B. Hill III;President, Chief Executive Officer & Director;Energy;Energy;Houston;www.calpine.com;17;2,290;f500-2018-calpine;
337;Mutual of Omaha Insurance;$8,731.9;James T. Blackledge;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Omaha;www.mutualofomaha.com;22;5,896;f500-2018-mutual-of-omaha-insurance;
338;Crown Holdings;$8,698;Timothy J. Donahue;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Philadelphia;www.crowncork.com;24;24,342;f500-2018-crown-holdings;
339;Peter Kiewit Sons’;$8,678;Bruce E. Grewcock;President, Chief Executive Officer & Director;Engineering & Construction;Engineering, Construction;Omaha;www.kiewit.com;19;22,000;f500-2018-peter-kiewit-sons;
340;Dick’s Sporting Goods;$8,590.5;Edward W. Stack;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Coraopolis, Pa.;www.dicks.com;9;30,300;f500-2018-dicks-sporting-goods-store;
341;PulteGroup;$8,573.3;Ryan R. Marshall;President, Chief Executive Officer & Director;Engineering & Construction;Homebuilders;Atlanta;www.pultegroupinc.com;16;4,810;f500-2018-pultegroup;
342;Navistar International;$8,570;Troy A. Clarke;Chairman, President & Chief Executive Officer;Industrials;Construction and Farm Machinery;Lisle, Ill.;www.navistar.com;22;11,400;f500-2018-navistar-international;
343;Thrivent Financial for Lutherans;$8,527.9;Bradford L. Hewitt;Chief Executive Officer & Director;Financials;Insurance: Life, Health (Mutual);Minneapolis;www.thrivent.com;24;3,622;f500-2018-thrivent-financial-for-lutherans;
344;DCP Midstream;$8,462;Wouter T. van Kempen;Chairman, President & Chief Executive Officer;Energy;Pipelines;Denver;www.dcpmidstream.com;1;2,650;NA;
345;Air Products & Chemicals;$8,442.4;Seifi Ghasemi;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Allentown, Pa.;www.airproducts.com;24;15,150;f500-2018-air-products-and-chemicacls;
346;Veritiv;$8,364.7;Mary A. Laschinger;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Atlanta;www.veritivcorp.com;3;8,900;f500-2018-veritiv;
347;AGCO;$8,306.5;Martin H. Richenhagen;Chairman, President & Chief Executive Officer;Industrials;Construction and Farm Machinery;Duluth, Ga.;www.agcocorp.com;17;20,462;f500-2018-agco;
348;Genworth Financial;$8,295;Thomas J. McInerney;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Richmond, Va.;www.genworth.com;13;3,500;f500-2018-genworth-financial;
349;Univar;$8,253.7;David C. Jukes;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;Downers Grove, Ill.;www.univar.com;3;8,600;f500-2018-univar;
350;News Corp.;$8,139;Robert J. Thomson;Chairman & Chief Executive Officer;Media;Publishing, Printing;New York City;www.newscorp.com;4;26,000;f500-2018-news-corp;
351;SpartanNash;$8,128.1;David M. Staples;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Food and Grocery;Byron Center, Mich.;www.spartannash.com;8;11,950;f500-2018-spartannash;
352;Westlake Chemical;$8,041;Albert Yuan Chao;President, Chief Executive Officer & Director;Chemicals;Chemicals;Houston;www.westlake.com;1;8,799;f500-2018-westlake-chemical;
353;Williams;$8,031;Alan S. Armstrong;President, Chief Executive Officer & Director;Energy;Energy;Tulsa, Okla.;www.williams.com;24;5,425;f500-2018-williams;
354;Lam Research;$8,013.6;Martin B. Anstice;Chairman & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;Fremont, Calif.;www.lamresearch.com;3;9,400;f500-2018-lam-research;
355;Alaska Air Group;$7,933;Bradley D. Tilden;Chairman, President & Chief Executive Officer;Transportation;Airlines;Seattle;www.alaskaair.com;5;23,156;f500-2018-alaska-air-group;
356;Jones Lang LaSalle;$7,932.4;Christian Ulbrich;President, Chief Executive Officer & Director;Financials;Real estate;Chicago;www.jll.com;4;81,900;f500-2018-jones-lang-lasalle;
357;Anixter International;$7,927.4;William A. Galvin;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;Glenview, Ill.;www.anixter.com;16;8,900;f500-2018-anixter-international;
358;Campbell Soup;$7,890;Denise M. Morrison;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Camden, N.J.;www.campbellsoupcompany.com;24;18,000;f500-2018-campbell-soup;
359;Interpublic Group;$7,882.4;Michael I. Roth;Chairman & Chief Executive Officer;Business Services;Advertising, marketing;New York City;www.interpublic.com;21;50,200;f500-2018-interpublic-group;
360;Dover;$7,830.4;Richard J. Tobin;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Downers Grove, Ill.;www.dovercorporation.com;24;29,000;f500-2018-dover;
361;Zimmer Biomet Holdings;$7,824.1;Bryan C. Hanson;President, Chief Executive Officer & Director;Health Care;Medical Products and Equipment;Warsaw, Ind.;www.zimmerbiomet.com;3;18,200;f500-2018-zimmer-biomet-holdings;
362;Dean Foods;$7,795;Ralph P. Scozzafava;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Dallas;www.deanfoods.com;20;16,000;f500-2018-dean-foods;
363;Foot Locker;$7,782;Richard A. Johnson;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;New York City;www.footlocker-inc.com;24;32,175;f500-2018-foot-locker;
364;Eversource Energy;$7,752;James J. Judge;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Springfield, Mass.;www.eversource.com;23;8,084;f500-2018-eversource-energy;
365;Alliance Data Systems;$7,719.4;Edward J. Heffernan;President, Chief Executive Officer & Director;Business Services;Financial Data Services;Plano, Texas;www.alliancedata.com;4;20,000;f500-2018-alliance-data-systems;
366;Fifth Third Bancorp;$7,713;Greg D. Carmichael;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Cincinnati;www.53.com;19;18,125;f500-2018-fifth-third-bancorp;
367;Quest Diagnostics;$7,709;Stephen H. Rusckowski;Chairman, President & Chief Executive Officer;Health Care;Health Care: Pharmacy and Other Services;Secaucus, N.J.;www.questdiagnostics.com;18;45,000;f500-2018-quest-diagnostics;
368;EMCOR Group;$7,687.9;Anthony J. Guzzi;President, Chief Executive Officer & Director;Engineering & Construction;Engineering, Construction;Norwalk, Conn.;www.emcorgroup.com;18;32,000;f500-2018-emcor-group;
369;W.R. Berkley;$7,684.8;W. Robert Berkley Jr.;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Greenwich, Conn.;www.wrberkley.com;15;7,722;f500-2018-berkley-wr;
370;WESCO International;$7,679;John J. Engel;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Pittsburgh;www.wesco.com;20;9,100;f500-2018-wesco-international;
371;Coty;$7,650.3;Camillo Pane;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;New York City;www.coty.com;1;22,000;f500-2018-coty;
372;WEC Energy Group;$7,648.5;Gale E. Klappa;Chairman & Chief Executive Officer;Energy;Utilities: Gas and Electric;Milwaukee;www.wecenergygroup.com;9;8,129;f500-2018-wec-energy-group;
373;Masco;$7,644;Keith J. Allman;President, Chief Executive Officer & Director;Household Products;Home Equipment, Furnishings;Livonia, Mich.;www.masco.com;24;26,000;f500-2018-masco;
374;DXC Technology;$7,607;J. Michael Lawrie;Chairman, President & Chief Executive Officer;Technology;Information Technology Services;Tysons, Va.;www.dxc.technology;1;60,000;f500-2018-dxc-technology;
375;Auto-Owners Insurance;$7,603.7;Jeffrey S. Tagsold;Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Mutual);Lansing, Mich.;www.auto-owners.com;16;5,227;f500-2018-auto-owners-insurance;
376;Jones Financial (Edward Jones);$7,597;NA;NA;Financials;NA;NA;NA;NA;NA;f500-2018-auto-owners-insurance;
377;Liberty Media;$7,594;Gregory B. Maffei;President, Chief Executive Officer & Director;Media;Entertainment;Englewood, Colo.;www.libertymedia.com;2;4,393;f500-2018-liberty-media;
378;Erie Insurance Group;$7,535.1;Timothy G. NeCastro;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Erie, Pa.;www.erieinsurance.com;15;5,260;f500-2018-erie-insurance;
379;Hershey;$7,515.4;Michele G. Buck;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Hershey, Pa.;www.thehersheycompany.com;24;16,135;f500-2018-hershey;
380;PPL;$7,447;William H. Spence;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Allentown, Pa.;www.pplweb.com;24;12,512;f500-2018-ppl-corp;
381;Huntington Ingalls Industries;$7,441;C. Michael Petters;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;Newport News, Va.;www.huntingtoningalls.com;6;38,000;f500-2018-huntington-ingalls-industries;
382;Mosaic;$7,409.4;James C. O'Rourke;President, Chief Executive Officer & Director;Chemicals;Chemicals;Plymouth, Minn.;www.mosaicco.com;13;8,500;f500-2018-mosaic;
383;J.M. Smucker;$7,392.3;Mark T. Smucker;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Consumer Products;Orrville, Ohio;www.jmsmucker.com;8;7,140;f500-2018-j-m-smucker-co;
384;Delek US Holdings;$7,349.5;Ezra Uzi Yemin;Chairman, President & Chief Executive Officer;Energy;Petroleum Refining;Brentwood, Tenn.;www.delekus.com;4;3,941;f500-2018-delek-us-holdings;
385;Newmont Mining;$7,348;Gary J. Goldberg;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Greenwood Village, Colo.;www.newmont.com;15;12,569;f500-2018-newmont-mining;
386;Constellation Brands;$7,331.5;Robert S. Sands;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Beverages;Victor, N.Y.;www.cbrands.com;6;8,700;f500-2018-constellation-brands;
387;Ryder System;$7,329.6;Robert E. Sanchez;Chairman, President & Chief Executive Officer;Transportation;Trucking, Truck Leasing;Miami;www.ryder.com;24;36,100;f500-2018-ryder-systems;
388;National Oilwell Varco;$7,304;Clay C. Williams;Chairman, President & Chief Executive Officer;Energy;Oil and Gas Equipment, Services;Houston;www.nov.com;13;31,605;f500-2018-national-oilwell-varco;
389;Adobe Systems;$7,301.5;Shantanu Narayen;Chairman, President & Chief Executive Officer;Technology;Computer Software;San Jose, Calif.;www.adobe.com;2;17,973;f500-2018-adobe-systems;
390;LifePoint Health;$7,263.1;William F. Carpenter III;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;Brentwood, Tenn.;www.lifepointhealth.net;4;42,000;f500-2018-lifepointhealth1;
391;Tractor Supply;$7,256.4;Gregory A. Sandfort;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Brentwood, Tenn.;www.tractorsupply.com;5;21,000;f500-2018-tractor-supply;
392;Thor Industries;$7,247;Robert W. Martin;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Elkhart, Ind.;www.thorindustries.com;1;17,800;f500-2018-thor-industries;
393;Dana;$7,209;James K. Kamsickas;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Maumee, Ohio;www.dana.com;24;30,100;f500-2018-dana;
394;Weyerhaeuser;$7,196;Doyle R. Simons;President, Chief Executive Officer & Director;Materials;Forest and Paper Products;Seattle;www.weyerhaeuser.com;24;9,300;f500-2018-weyerhaesuer;
395;J.B. Hunt Transport Services;$7,189.6;John N. Roberts III;President, Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Lowell, Ark.;www.jbhunt.com;6;24,681;f500-2018-jb-hunt-transport-services;
396;Darden Restaurants;$7,170.2;Eugene I. Lee Jr.;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Orlando;www.darden.com;22;178,729;f500-2018-darden-restaurants;
397;Yum China Holdings;$7,144;Joey Wat;Chairman & Chief Executive Officer;Hotels, Restaurants & Leisure;Food Services;Plano, Texas;ir.yumchina.com;2;450,000;f500-2018-yum-china-holdings;
398;Blackstone Group;$7,119.1;Stephen A. Schwarzman;Chairman & Chief Executive Officer;Financials;Diversified Financials;New York City;www.blackstone.com;3;2,360;f500-2018-blackstone-group;
399;Berry Global Group;$7,095;Thomas E. Salmon;Chairman & Chief Executive Officer;Materials;Packaging, Containers;Evansville, Ind.;www.berryglobal.com;2;23,000;f500-2018-berry-global-group;
400;Builders FirstSource;$7,034.2;M. Chad Crow;President, Chief Executive Officer & Director;Materials;Building Materials, Glass;Dallas;www.bldr.com;2;15,000;NA;
401;Activision Blizzard;$7,017;Robert A. Kotick;Chairman & Chief Executive Officer;Technology;Entertainment;Santa Monica, Calif.;www.activisionblizzard.com;2;9,800;f500-2018-activision-blizzard;
402;JetBlue Airways;$7,015;Robin Hayes;President, Chief Executive Officer & Director;Transportation;Airlines;Long Island City, N.Y.;www.jetblue.com;6;17,424;f500-2018-jetblue-airways;
403;Amphenol;$7,011.3;R. Adam Norwitt;President, Chief Executive Officer & Director;Technology;Network and Other Communications Equipment;Wallingford, Conn.;www.amphenol.com;4;70,000;f500-2018-amphenol;
404;A-Mark Precious Metals;$6,989.6;Gregory N. Roberts;Chairman & Chief Executive Officer;Materials;Miscellaneous;El Segundo, Calif.;www.amark.com;4;126;f500-2018-a-mark-precious-metals;
405;Spirit AeroSystems Holdings;$6,983;Thomas C. Gentile III;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;Wichita, Kans.;www.spiritaero.com;4;15,500;f500-2018-spirit-aerosystems-holdings;
406;R.R. Donnelley & Sons;$6,939.6;Daniel L. Knotts;President, Chief Executive Officer & Director;Media;Publishing, Printing;Chicago;www.rrdonnelley.com;24;42,700;NA;
407;Harris;$6,939;William M. Brown;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Melbourne, Fla.;www.harris.com;14;17,000;f500-2018-harris;
408;Expeditors Intl. of Washington;$6,920.9;Jeffrey S. Musser;President, Chief Executive Officer & Director;Transportation;Transportation and Logistics;Seattle;www.expeditors.com;11;16,500;NA;
409;Discovery;$6,873;David M. Zaslav;President, Chief Executive Officer & Director;Media;Entertainment;Silver Spring, Md.;www.discovery.com;5;7,000;f500-2018-discovery;
410;Owens-Illinois;$6,869;Andres A. Lopez;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Perrysburg, Ohio;www.o-i.com;24;26,500;f500-2018-owens-illinois;
411;Sanmina;$6,868.6;Michael J. Clarke;Chairman & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;San Jose, Calif.;www.sanmina.com;18;41,250;f500-2018-sanmina;
412;KeyCorp;$6,868;Beth E. Mooney;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Cleveland;www.key.com;20;18,415;f500-2018-keycorp;
413;American Financial Group;$6,865;Carl H. Lindner lll/S. Craig Lindner;President, Co-Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Cincinnati;www.afginc.com;19;7,600;f500-2018-american-financial-group;
414;Oshkosh;$6,829.6;Wilson R. Jones;President, Chief Executive Officer & Director;Industrials;Construction and Farm Machinery;Oshkosh, Wis.;www.oshkoshcorporation.com;11;14,000;f500-2018-oshkosh;
415;Rockwell Collins;$6,822;Robert K. Ortberg;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Cedar Rapids, Iowa;www.rockwellcollins.com;7;29,000;f500-2018-rockwell-collins;
416;Kindred Healthcare;$6,767.6;Benjamin A. Breier;President, Chief Executive Officer & Director;Health Care;Health Care: Medical Facilities;Louisville, Ky.;www.kindredhealthcare.com;15;64,200;f500-2018-kindred-healthcare;
417;Insight Enterprises;$6,703.6;Kenneth T. Lamneck;President, Chief Executive Officer & Director;Technology;Information Technology Services;Tempe, Ariz.;www.insight.com;10;6,697;f500-2018-insight-enterprises;
418;Dr Pepper Snapple Group;$6,690;Larry D. Young;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Beverages;Plano, Texas;www.drpeppersnapplegroup.com;10;21,000;f500-2018-dr-pepper-snapple-group;
419;American Tower;$6,663.9;James D. Taiclet Jr.;Chairman, President & Chief Executive Officer;Financials;Real estate;Boston;www.americantower.com;2;4,752;f500-2018-american-tower;
420;Fortive;$6,656;James A. Lico;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Everett, Wash.;www.fortive.com;1;26,000;NA;
421;Ralph Lauren;$6,652.8;Patrice Louvet;President, Chief Executive Officer & Director;Apparel;Apparel;New York City;www.ralphlauren.com;10;18,250;f500-2018-ralph-lauren;
422;Spectrum Brands Holdings;$6,650;Joseph S. Steinberg;Chairman & Chief Executive Officer;Household Products;Household and Personal Products;New York City;www.spectrumbrands.com;5;17,113;f500-2018-hrg-group;
423;Ascena Retail Group;$6,649.8;David R. Jaffe;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Mahwah, N.J.;www.ascenaretail.com;2;40,000;f500-2018-ascena-retail-group;
424;United Rentals;$6,641;Michael J. Kneeland;Chairman & Chief Executive Officer;Business Services;Miscellaneous;Stamford, Conn.;www.unitedrentals.com;5;14,800;f500-2018-united-rentals;
425;Casey’s General Stores;$6,640.6;Terry W. Handley;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Ankeny, Iowa;www.caseys.com;8;25,463;f500-2018-caseys-general-store;
426;Graybar Electric;$6,631.2;Kathleen M. Mazzarella;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;St. Louis;www.graybar.com;24;8,500;f500-2018-graybar-electric;
427;Avery Dennison;$6,613.8;Mitchell R. Butier;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Glendale, Calif.;www.averydennison.com;24;30,000;f500-2018-avery-dennison;
428;MasTec;$6,607;Jose R. Mas;Chief Executive Officer;Engineering & Construction;Engineering, Construction;Coral Gables, Fla.;www.mastec.com;1;17,300;f500-2018-mastec;
429;CMS Energy;$6,583;Patricia K. Poppe;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Jackson, Mich.;www.cmsenergy.com;24;7,887;f500-2018-cms-energy;
430;HD Supply Holdings;$6,534;Joseph J. DeAngelo;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Atlanta;www.hdsupply.com;6;11,000;f500-2018-hd-supply-holdings1;
431;Raymond James Financial;$6,524.9;Paul C. Reilly;Chairman & Chief Executive Officer;Financials;Securities;St. Petersburg, Fla.;www.raymondjames.com;3;12,700;f500-2018-raymond-james-financial;
432;NCR;$6,516;Michael D. Hayford;Chief Executive Officer & Director;Technology;Computers, Office Equipment;Atlanta;www.ncr.com;21;34,000;f500-2018-ncr;
433;Hanesbrands;$6,478.3;Gerald W. Evans Jr.;Chairman & Chief Executive Officer;Apparel;Apparel;Winston-Salem, N.C.;www.hanes.com;4;67,200;f500-2018-hanesbrands;
434;Asbury Automotive Group;$6,456.5;David W. Hult;President, Chief Executive Officer & Director;Retailing;Automotive Retailing, Services;Duluth, Ga.;www.asburyauto.com;12;8,000;f500-2018-asbury-automotive-group;
435;Citizens Financial Group;$6,454;Bruce W. Van Saun;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Providence, R.I.;www.citizensbank.com;3;17,594;f500-2018-citizens-financial-group;
436;Packaging Corp. of America;$6,444.9;Mark W. Kowlzan;Chairman & Chief Executive Officer;Materials;Packaging, Containers;Lake Forest, Ill.;www.packagingcorp.com;4;14,600;f500-2018-packaging-corp-of-america;
437;Alleghany;$6,424.7;Weston M. Hicks;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);New York City;www.alleghany.com;4;4,402;f500-2018-alleghany;
438;Apache;$6,423;John J. Christmann IV;President, Chief Executive Officer & Director;Energy;Mining, Crude-Oil Production;Houston;www.apachecorp.com;15;3,356;f500-2018-apache;
439;Dillard’s;$6,422.7;William T. Dillard II;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Little Rock, Ark.;www.dillards.com;24;31,400;f500-2018-dillards;
440;Assurant;$6,415;Alan B. Colberg;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);New York City;www.assurant.com;14;14,175;f500-2018e28094assurant;
441;Franklin Resources;$6,392.2;Gregory E. Johnson;Chairman & Chief Executive Officer;Financials;Securities;San Mateo, Calif.;www.franklinresources.com;13;9,386;f500-2018e28094franklin-resources;
442;Owens Corning;$6,384;Michael H. Thaman;Chairman, President & Chief Executive Officer;Materials;Building Materials, Glass;Toledo, Ohio;www.owenscorning.com;24;17,000;f500-2018e28094owens-corning1;
443;Motorola Solutions;$6,380;Gregory Q. Brown;Chairman & Chief Executive Officer;Technology;Network and Other Communications Equipment;Chicago;www.motorolasolutions.com;24;15,000;f500-2018-motorola-solutions;
444;NVR;$6,322.3;Paul C. Saville;President, Chief Executive Officer & Director;Engineering & Construction;Homebuilders;Reston, Va.;www.nvrinc.com;9;5,200;f500-2018-nvr;
445;Rockwell Automation;$6,311.3;Blake D. Moret;Chairman, President & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Milwaukee;www.rockwellautomation.com;24;22,000;f500-2018-rockwell-automation;
