rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
653;ScanSource;$3,568.2;Michael L. Baur;Chief Executive Officer & Director;Wholesalers;Wholesalers: Electronics and Office Equipment;Greenville, S.C.;www.scansource.com;-;2,000;NA;
654;Pinnacle West Capital;$3,565.3;Donald E. Brandt;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Phoenix;www.pinnaclewest.com;-;6,292;NA;
655;Scripps Networks Interactive;$3,561.8;David M. Zaslav;CEO-Discovery;Media;Entertainment;Knoxville, Tenn.;www.discovery.com;-;3,600;NA;
656;Alexion Pharmaceuticals;$3,551.1;Ludwig N. Hantson;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;New Haven, Conn.;www.alexion.com;-;2,525;NA;
657;Pitney Bowes;$3,549.9;Marc B. Lautenbach;President, Chief Executive Officer & Director;Technology;Computers, Office Equipment;Stamford, Conn.;www.pb.com;-;14,700;NA;
658;CIT Group;$3,545.3;Ellen R. Alemany;Chairwoman & CEO;Financials;Commercial Banks;New York City;www.cit.com;-;4,167;NA;
659;Country Financial;$3,542.4;Kurt F. Bock;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Bloomington, Ill.;www.countryfinancial.com;-;3,834;NA;
660;CUNA Mutual Group;$3,541;Robert N. Trunzo;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Madison, Wis.;www.cunamutual.com;-;3,300;NA;
661;Triumph Group;$3,532.8;Daniel J. Crowley;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;Berwyn, Pa.;www.triumphgroup.com;-;14,309;NA;
662;TransDigm Group;$3,528.9;Kevin M. Stein;President, Chief Executive Officer & Director;Aerospace & Defense;Aerospace and Defense;Cleveland;www.transdigm.com;-;9,200;NA;
663;Allegheny Technologies;$3,525.1;Richard J. Harshman;Chairman, President & Chief Executive Officer;Materials;Metals;Pittsburgh;www.atimetals.com;-;8,600;NA;
664;Resolute Forest Products;$3,513;Yves Laflamme;President, Chief Executive Officer & Director;Materials;Forest and Paper Products;Catawba, S.C.;www.resolutefp.com;-;7,700;NA;
665;Acuity Brands;$3,505.1;Vernon J. Nagel;Chairman, President & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Atlanta;www.acuitybrands.com;-;12,500;NA;
666;Abercrombie & Fitch;$3,492.7;Fran Horowitz-Bonadies;Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;New Albany, Ohio;www.abercrombie.com;-;22,500;NA;
667;KLA-Tencor;$3,480;Richard P. Wallace;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Milpitas, Calif.;www.kla-tencor.com;-;5,990;NA;
668;Weis Markets;$3,466.8;Jonathan H. Weis;Chairman, President & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Sunbury, Pa.;www.weismarkets.com;-;23,000;NA;
669;Puget Energy;$3,460.3;Kimberly J. Harris;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Bellevue, Wash.;www.pugetenergy.com;-;3,140;NA;
670;Mednax;$3,458.3;Roger J. Medel;Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Sunrise, Fla.;www.mednax.com;-;14,000;NA;
671;Kar Auction Services;$3,458;James P. Hallett;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Diversified;Carmel, Ind.;www.karauctionservices.com;-;15,488;NA;
672;PolyOne;$3,452;Robert M. Patterson;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Avon Lake, Ohio;www.polyone.com;-;6,400;NA;
673;FMC;$3,441.5;Pierre R. Brondeau;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Philadelphia;www.fmc.com;-;7,000;NA;
674;Edwards Lifesciences;$3,435.3;Michael A. Mussallem;Chairman & Chief Executive Officer;Health Care;Medical Products and Equipment;Irvine, Calif.;www.edwards.com;-;12,200;NA;
675;Microchip Technology;$3,426.1;Steve Sanghi;Chairman & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;Chandler, Ariz.;www.microchip.com;-;12,656;NA;
676;Amerco;$3,421.8;Edward J. Shoen;Chairman, President & Chief Executive Officer;Transportation;Trucking, Truck Leasing;Reno, Nev.;www.amerco.com;-;20,376;NA;
677;Mercury General;$3,416;Gabriel Tirador;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Los Angeles;www.mercuryinsurance.com;-;4,300;NA;
678;American National Insurance;$3,411;James E. Pozzi;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (stock);Galveston, Texas;www.americannational.com;-;4,621;NA;
679;Carter’s;$3,400.4;Michael D. Casey;Chairman & Chief Executive Officer;Apparel;Apparel;Atlanta;www.carters.com;-;20,900;NA;
680;International Flavors & Fragrances;$3,398.7;Andreas Fibig;Chairman & Chief Executive Officer;Chemicals;Chemicals;New York City;www.iff.com;-;7,300;NA;
681;Aaron’s;$3,383.7;John W. Robinson III;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Atlanta;www.aarons.com;-;11,900;NA;
682;Alliant Energy;$3,382.2;Patricia L. Kampling;Chairman & Chief Executive Officer;Energy;Utilities: Gas and Electric;Madison, Wis.;www.alliantenergy.com;-;3,989;NA;
683;EQT;$3,378;David L. Porges;Chairman, President & Chief Executive Officer;Energy;Energy;Pittsburgh;www.eqt.com;-;2,067;NA;
684;Monster Beverage;$3,369;Rodney C. Sacks;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Beverages;Corona, Calif.;www.monsterbevcorp.com;-;2,589;NA;
